player_id,batter,match_id,match_date,format,season,batting_team,opponent_team,Runs,Balls_Faced,Fours,Sixes,Strike_Rate,Dismissals,Not_Out
10002,Rashid Khan,1094675,2017-08-06,T20,2017,Guyana Amazon Warriors,St Kitts and Nevis Patriots,0,1,0,0,0.0,0,1
10002,Rashid Khan,1114867,2017-12-31,T20,2017/18,Adelaide Strikers,Brisbane Heat,6,2,0,1,300.0,1,0
10002,Rashid Khan,1114872,2018-01-04,T20,2017/18,Adelaide Strikers,Hobart Hurricanes,4,3,0,0,133.33,0,1
10002,Rashid Khan,1114875,2018-01-07,T20,2017/18,Adelaide Strikers,Sydney Thunder,16,7,0,2,228.57,0,1
10002,Rashid Khan,1114882,2018-01-13,T20,2017/18,Adelaide Strikers,Perth Scorchers,5,6,0,0,83.33,1,0
10002,Rashid Khan,1114893,2018-01-25,T20,2017/18,Adelaide Strikers,Perth Scorchers,5,3,1,0,166.67,0,1
10002,Rashid Khan,1121271,2017-11-25,T20,2017/18,Comilla Victorians,Rajshahi Kings,6,4,1,0,150.0,1,0
10002,Rashid Khan,1127478,2018-07-13,T20,2018,Sussex,Surrey,1,2,0,0,50.0,1,0
10002,Rashid Khan,1127513,2018-08-01,T20,2018,Sussex,Gloucestershire,1,2,0,0,50.0,1,0
10002,Rashid Khan,1127517,2018-08-02,T20,2018,Sussex,Middlesex,4,4,1,0,100.0,1,0
10002,Rashid Khan,1136567,2018-04-12,T20,2018,Sunrisers Hyderabad,Mumbai Indians,0,1,0,0,0.0,1,0
10002,Rashid Khan,1136580,2018-04-22,T20,2018,Sunrisers Hyderabad,Chennai Super Kings,17,4,1,2,425.0,0,1
10002,Rashid Khan,1136583,2018-04-24,T20,2018,Sunrisers Hyderabad,Mumbai Indians,6,9,0,0,66.67,1,0
10002,Rashid Khan,1136588,2018-04-29,T20,2018,Sunrisers Hyderabad,Rajasthan Royals,1,3,0,0,33.33,1,0
10002,Rashid Khan,1136599,2018-05-07,T20,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,1,3,0,0,33.33,0,1
10002,Rashid Khan,1136614,2018-05-19,T20,2018,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,0,0,0.0,1,0
10002,Rashid Khan,1136619,2018-05-25,T20,2018,Sunrisers Hyderabad,Kolkata Knight Riders,34,11,2,4,309.09,0,1
10002,Rashid Khan,1141232,2018-05-31,T20,2018,ICC World XI,West Indies,9,8,0,1,112.5,1,0
10002,Rashid Khan,1152519,2018-12-26,T20,2018/19,Adelaide Strikers,Perth Scorchers,21,12,2,2,175.0,1,0
10002,Rashid Khan,1152528,2019-01-03,T20,2018/19,Adelaide Strikers,Melbourne Renegades,21,7,2,2,300.0,0,1
